time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-03-01,17.3,9.0,2.9,1.71
2025-03-02,18.5,8.8,1.0,2.68
2025-03-03,17.8,7.6,0.0,2.5100000000000002
2025-03-04,16.6,6.1,0.0,2.62
2025-03-05,15.8,5.1,0.30000000000000004,2.31
2025-03-06,15.1,7.8,5.6,2.1
2025-03-07,13.8,8.6,5.2,1.1199999999999999
2025-03-08,17.0,7.0,0.0,2.57
2025-03-09,19.8,8.9,2.4000000000000004,2.48
2025-03-10,19.8,8.1,0.0,2.89
2025-03-11,18.5,8.6,0.0,2.59
2025-03-12,14.4,9.1,15.9,0.98
2025-03-13,18.2,8.1,4.699999999999999,2.73
2025-03-14,19.5,11.1,3.6999999999999997,2.81
2025-03-15,16.0,7.1,9.6,1.76
2025-03-16,14.2,5.2,0.30000000000000004,2.75
2025-03-17,16.0,4.8,1.8,2.4699999999999998
2025-03-18,16.2,8.0,0.0,2.3000000000000003
2025-03-19,15.8,6.8,0.0,2.8
2025-03-20,15.9,9.6,0.0,2.11
2025-03-21,17.5,10.1,0.0,2.5
2025-03-22,20.9,12.1,0.0,3.06
2025-03-23,17.5,9.8,0.0,2.89
2025-03-24,17.1,8.6,7.7,2.61
2025-03-25,15.8,7.9,2.2,2.8000000000000003
2025-03-26,14.6,6.9,5.7,2.41
2025-03-27,16.4,6.8,0.0,2.97
2025-03-28,14.9,8.2,0.6000000000000001,2.7
2025-03-29,13.4,7.9,2.1,1.87
2025-03-30,18.6,7.7,0.6000000000000001,2.9
2025-03-31,18.3,7.6,0.6000000000000001,2.5500000000000003
2025-04-01,17.9,5.2,0.0,4.0
2025-04-02,18.2,4.8,0.0,3.42
2025-04-03,21.0,6.7,0.0,4.05
2025-04-04,22.2,8.4,0.0,4.46
2025-04-05,22.4,8.1,0.0,4.11
2025-04-06,21.5,9.2,0.0,3.92
2025-04-07,16.8,8.6,2.0,2.5300000000000002
2025-04-08,11.9,6.2,7.5,1.02
2025-04-09,13.5,4.2,8.2,2.19
2025-04-10,17.2,3.2,0.0,3.82
2025-04-11,18.7,5.5,1.7000000000000002,2.98
2025-04-12,15.9,10.4,3.6999999999999997,2.83
2025-04-13,17.5,9.7,0.0,3.2600000000000002
2025-04-14,16.0,9.5,2.4000000000000004,1.81
2025-04-15,13.9,7.5,0.0,4.16
2025-04-16,21.1,7.1,0.0,4.23
2025-04-17,18.8,9.0,0.0,3.79
2025-04-18,16.5,10.6,0.6000000000000001,3.42
2025-04-19,18.5,9.6,0.0,3.62
2025-04-20,21.7,11.1,0.0,4.22
2025-04-21,22.6,12.4,0.0,4.19
2025-04-22,20.5,12.9,0.0,4.29
2025-04-23,20.5,12.8,0.0,4.15
2025-04-24,22.5,12.8,0.0,4.63
2025-04-25,24.5,14.6,0.0,4.99
2025-04-26,24.5,14.5,0.0,4.6899999999999995
2025-04-27,24.8,14.7,0.0,4.92
2025-04-28,23.8,14.4,0.0,4.79
2025-04-29,22.4,13.9,0.0,4.66
2025-04-30,22.1,13.6,0.0,4.66
