time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-02,29.9,17.3,0.0,7.7700000000000005
2025-06-03,29.3,15.8,0.0,7.49
2025-06-04,31.0,16.2,0.5,6.32
2025-06-05,30.0,17.5,1.6,5.66
2025-06-06,32.9,18.2,0.0,6.98
2025-06-07,35.5,20.0,0.0,8.21
2025-06-08,33.0,18.4,0.0,8.11
2025-06-09,31.5,16.4,0.0,8.23
2025-06-10,30.5,14.8,0.0,6.84
2025-06-11,32.3,17.5,0.0,6.609999999999999
2025-06-12,33.0,18.3,0.0,6.78
2025-06-13,34.9,17.9,0.0,7.66
2025-06-14,36.5,19.9,0.0,7.56
2025-06-15,37.2,21.6,0.0,8.35
2025-06-16,37.0,21.1,0.0,8.55
2025-06-17,31.0,19.2,0.0,7.81
2025-06-18,28.9,18.0,0.0,4.3
2025-06-19,31.6,17.9,0.30000000000000004,5.96
2025-06-20,32.9,19.5,0.0,7.13
2025-06-21,34.2,19.3,0.0,6.800000000000001
2025-06-22,34.3,20.8,0.0,6.63
2025-06-23,34.8,20.5,0.0,7.19
2025-06-24,35.8,20.9,0.0,8.47
2025-06-25,37.2,22.1,0.0,7.74
2025-06-26,37.7,22.0,0.0,7.82
2025-06-27,34.8,20.9,0.0,8.35
2025-06-28,36.2,19.8,0.0,6.85
2025-06-29,37.2,23.1,0.0,7.84
2025-06-30,35.6,21.9,0.0,7.53
2025-07-01,35.5,23.0,0.0,6.07
2025-07-02,35.5,23.5,0.0,6.15
2025-07-03,36.1,22.8,0.0,6.2
2025-07-04,36.0,23.0,0.0,6.1499999999999995
2025-07-05,35.0,22.0,0.0,7.06
2025-07-06,37.3,21.9,0.0,7.45
2025-07-07,39.0,22.6,0.0,8.65
2025-07-08,38.2,23.4,0.0,9.71
2025-07-09,40.3,22.0,0.0,7.73
2025-07-10,35.5,21.2,0.0,8.34
2025-07-11,36.0,20.9,0.0,7.17
2025-07-12,34.8,19.9,0.9,4.46
2025-07-13,30.4,21.7,0.0,6.36
2025-07-14,30.9,22.5,0.0,6.44
2025-07-15,31.2,23.1,0.0,7.13
2025-07-16,31.6,23.8,0.0,6.92
2025-07-17,29.0,23.4,0.0,4.56
2025-07-18,31.3,22.9,0.0,6.35
2025-07-19,30.9,23.8,0.0,6.06
2025-07-20,31.5,23.4,0.0,6.07
2025-07-21,32.5,24.0,0.0,6.24
2025-07-22,32.4,24.8,0.0,6.29
2025-07-23,32.8,25.1,0.0,6.46
2025-07-24,33.2,24.6,0.0,6.65
2025-07-25,32.5,24.0,0.0,6.69
2025-07-26,31.5,23.1,0.0,6.04
2025-07-27,30.9,23.3,0.0,5.72
2025-07-28,31.8,23.1,0.6000000000000001,6.71
2025-07-29,30.2,22.5,0.6000000000000001,6.17
2025-07-30,30.2,21.6,0.0,6.32
2025-07-31,30.0,22.0,0.0,5.71
2025-08-01,30.5,22.8,0.0,5.59
