time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-05-31,31.1,16.4,0.0,6.61
2025-06-01,31.7,16.4,0.0,6.35
2025-06-02,29.8,17.2,0.0,7.75
2025-06-03,29.0,15.8,0.0,7.32
2025-06-04,30.3,16.3,0.9,5.99
2025-06-05,30.2,17.0,1.8,5.84
2025-06-06,33.4,17.9,0.0,7.08
2025-06-07,34.8,20.0,0.0,8.33
2025-06-08,33.2,18.5,0.0,8.14
2025-06-09,31.5,16.3,0.0,8.25
2025-06-10,29.7,15.2,0.0,6.75
2025-06-11,32.0,16.9,0.0,6.51
2025-06-12,32.8,18.2,0.0,6.82
2025-06-13,34.2,18.0,0.0,7.51
2025-06-14,36.3,19.9,0.0,7.28
2025-06-15,37.2,22.1,0.0,8.17
2025-06-16,36.0,20.8,0.0,8.28
2025-06-17,31.0,18.5,0.0,7.6
2025-06-18,29.9,17.9,0.30000000000000004,5.2700000000000005
2025-06-19,30.8,18.1,0.30000000000000004,5.87
2025-06-20,32.5,19.1,0.0,6.4
2025-06-21,34.1,19.4,0.0,6.640000000000001
2025-06-22,34.8,21.1,0.0,6.76
2025-06-23,34.8,20.2,0.0,7.7
2025-06-24,35.6,20.9,0.0,8.51
2025-06-25,36.8,21.7,0.0,7.42
2025-06-26,38.0,22.2,0.0,7.88
2025-06-27,35.1,21.2,0.0,8.3
2025-06-28,35.0,20.2,0.0,6.43
2025-06-29,36.3,22.9,0.0,7.56
2025-06-30,35.1,21.8,0.0,7.67
2025-07-01,35.8,23.2,0.0,4.54
2025-07-02,37.3,23.0,0.0,6.0
2025-07-03,35.4,22.5,0.9,5.75
2025-07-04,35.3,22.0,0.30000000000000004,5.5200000000000005
2025-07-05,37.0,22.0,0.0,8.13
2025-07-06,38.5,22.5,0.0,7.52
2025-07-07,38.3,22.3,0.0,8.82
2025-07-08,31.0,19.5,0.0,7.87
2025-07-09,29.0,18.5,0.0,7.57
2025-07-10,33.8,17.3,0.0,7.58
2025-07-11,25.9,19.1,0.5,5.82
2025-07-12,29.2,20.9,0.1,6.86
2025-07-13,29.0,21.0,0.0,6.43
2025-07-14,29.8,21.1,0.0,6.36
2025-07-15,30.4,22.4,0.0,6.52
2025-07-16,30.0,22.0,0.0,6.19
2025-07-17,26.5,21.1,0.0,6.21
2025-07-18,27.3,20.6,0.0,6.13
2025-07-19,27.8,20.0,0.0,6.1899999999999995
2025-07-20,30.0,21.4,0.0,7.72
2025-07-21,28.0,20.2,0.0,5.86
2025-07-22,28.9,20.2,0.0,5.63
2025-07-23,30.0,21.2,0.0,6.24
2025-07-24,30.5,21.5,0.0,6.43
2025-07-25,29.6,21.0,0.0,6.14
2025-07-26,27.7,21.5,0.0,5.67
2025-07-27,30.5,21.2,0.0,5.61
2025-07-28,31.3,23.0,0.0,6.28
2025-07-29,30.6,23.8,0.0,6.52
2025-07-30,31.1,23.2,0.0,6.6899999999999995
