time,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration
2025-06-01,31.5,16.4,0.0,6.29
2025-06-02,29.8,17.4,0.0,7.74
2025-06-03,29.4,16.0,0.0,7.54
2025-06-04,30.9,16.4,1.4000000000000001,6.13
2025-06-05,31.9,17.0,0.4,6.12
2025-06-06,33.0,17.9,0.0,7.08
2025-06-07,35.5,20.0,0.0,8.32
2025-06-08,32.8,18.6,0.0,7.91
2025-06-09,31.2,16.6,0.0,8.09
2025-06-10,29.9,15.1,0.0,6.76
2025-06-11,32.3,17.3,0.0,6.49
2025-06-12,33.7,18.3,0.0,6.76
2025-06-13,34.7,18.1,0.0,7.42
2025-06-14,36.8,19.9,0.0,7.55
2025-06-15,37.0,22.0,0.0,8.19
2025-06-16,36.7,21.0,0.0,8.47
2025-06-17,31.0,19.2,0.0,7.61
2025-06-18,28.2,17.5,0.6000000000000001,4.65
2025-06-19,31.2,17.9,0.0,5.61
2025-06-20,33.2,19.5,0.0,7.22
2025-06-21,34.0,19.3,0.0,6.97
2025-06-22,35.2,21.0,0.0,6.89
2025-06-23,34.3,20.7,0.0,7.61
2025-06-24,35.7,20.8,0.0,8.57
2025-06-25,37.1,21.9,0.0,7.42
2025-06-26,37.8,22.1,0.0,8.05
2025-06-27,35.0,21.0,0.0,8.540000000000001
2025-06-28,35.7,19.6,0.0,6.75
2025-06-29,36.8,23.1,0.0,7.45
2025-06-30,35.9,22.1,0.0,7.55
2025-07-01,35.7,22.7,0.0,5.4
2025-07-02,37.0,23.6,0.0,5.78
2025-07-03,36.8,22.2,0.0,5.93
2025-07-04,36.7,22.6,0.0,6.64
2025-07-05,36.3,22.0,0.0,7.17
2025-07-06,37.2,22.2,0.0,7.15
2025-07-07,37.2,21.4,0.0,8.22
2025-07-08,41.8,22.5,0.2,8.84
2025-07-09,33.8,19.3,0.1,8.73
2025-07-10,32.8,17.6,0.0,8.66
2025-07-11,32.9,18.6,0.0,6.88
2025-07-12,29.0,20.2,0.0,5.83
2025-07-13,28.9,22.2,0.0,6.07
2025-07-14,30.0,22.8,0.0,6.55
2025-07-15,30.0,22.1,0.0,6.88
2025-07-16,29.8,21.4,0.0,6.45
2025-07-17,30.8,22.5,0.0,6.39
2025-07-18,30.8,22.5,0.0,6.65
2025-07-19,30.8,23.2,0.0,6.51
2025-07-20,32.3,24.3,0.0,7.07
2025-07-21,31.5,23.0,0.0,6.14
2025-07-22,29.8,22.0,0.0,5.68
2025-07-23,30.3,21.5,0.0,5.93
2025-07-24,31.1,23.2,0.0,6.8
2025-07-25,31.1,22.8,0.0,6.97
2025-07-26,29.0,21.8,0.0,6.84
2025-07-27,25.7,18.9,0.0,6.33
2025-07-28,28.4,18.4,0.0,5.67
2025-07-29,29.0,19.9,0.0,5.5200000000000005
2025-07-30,30.2,21.2,0.0,6.47
2025-07-31,30.5,20.3,0.0,6.26
